gameID,leagueID,season,date,homeTeamID,awayTeamID,homeGoals,awayGoals,homeProbability,drawProbability,awayProbability,homeGoalsHalfTime,awayGoalsHalfTime,B365H,B365D,B365A
81,1,2015,2015-08-08 15:45:00,89,82,1,0,0.2843,0.3999,0.3158,1,0,1.65,4.0,6.0
82,1,2015,2015-08-08 18:00:00,73,71,0,1,0.3574,0.35,0.2926,0,0,2.0,3.6,4.0
83,1,2015,2015-08-08 18:00:00,72,90,2,2,0.2988,0.4337,0.2675,0,1,1.7,3.9,5.5
84,1,2015,2015-08-08 18:00:00,75,77,4,2,0.6422,0.2057,0.1521,3,0,1.95,3.5,4.33
85,1,2015,2015-08-08 18:00:00,79,78,1,3,0.1461,0.2159,0.638,0,1,2.55,3.3,3.0
86,1,2015,2015-08-08 20:30:00,80,84,2,2,0.0304,0.0924,0.8772,2,1,1.36,5.0,11.0
87,1,2015,2015-08-09 16:30:00,86,74,2,2,0.4386,0.3165,0.2449,1,1,2.88,3.3,2.7
88,1,2015,2015-08-09 16:30:00,83,81,0,2,0.5751,0.2826,0.1423,0,1,1.29,6.0,12.0
89,1,2015,2015-08-09 19:00:00,85,87,0,1,0.2482,0.5454,0.2064,0,0,3.4,3.4,2.3
90,1,2015,2015-08-10 23:00:00,76,88,0,3,0.0615,0.1698,0.7687,0,2,5.75,4.0,1.67
91,1,2015,2015-08-14 22:45:00,71,89,0,1,0.1056,0.4653,0.4291,0,1,5.5,3.8,1.73
92,1,2015,2015-08-15 15:45:00,74,72,0,3,0.2536,0.2845,0.4619,0,2,1.95,3.6,4.33
93,1,2015,2015-08-15 18:00:00,77,79,1,3,0.051,0.1845,0.7645,0,2,2.5,3.3,3.1
94,1,2015,2015-08-15 18:00:00,84,86,2,0,0.9165,0.0772,0.0063,1,0,1.95,3.6,4.33
95,1,2015,2015-08-15 18:00:00,82,85,2,2,0.1614,0.1925,0.6461,2,0,1.8,3.75,5.0
96,1,2015,2015-08-15 18:00:00,90,76,0,0,0.3286,0.3819,0.2895,0,0,2.3,3.4,3.4
97,1,2015,2015-08-15 18:00:00,81,75,1,2,0.0482,0.171,0.7808,0,2,2.25,3.5,3.4
98,1,2015,2015-08-16 16:30:00,78,83,1,2,0.1303,0.2113,0.6584,1,1,5.25,3.9,1.73
99,1,2015,2015-08-16 19:00:00,88,80,3,0,0.8142,0.1391,0.0467,1,0,2.1,3.5,3.75
100,1,2015,2015-08-17 23:00:00,87,73,1,0,0.8133,0.1411,0.0456,1,0,1.45,4.75,8.0
