gameID,teamID,season,date,location,goals,xGoals,shots,shotsOnTarget,fouls,corners,yellowCards,redCards,result
81,89,2015,2015-08-08 15:45:00,h,1,0.627539,9,1,12,1,2.0,0,W
81,82,2015,2015-08-08 15:45:00,a,0,0.6746,9,4,12,2,3.0,0,L
82,73,2015,2015-08-08 18:00:00,h,0,0.876106,11,2,13,6,3.0,0,L
82,71,2015,2015-08-08 18:00:00,a,1,0.782253,7,3,13,3,4.0,0,W
83,72,2015,2015-08-08 18:00:00,h,2,0.604226,10,5,7,8,1.0,0,D
83,90,2015,2015-08-08 18:00:00,a,2,0.557892,11,5,13,2,2.0,0,D
84,75,2015,2015-08-08 18:00:00,h,4,2.56803,19,8,13,6,2.0,0,W
84,77,2015,2015-08-08 18:00:00,a,2,1.45946,11,5,17,3,4.0,0,L
85,79,2015,2015-08-08 18:00:00,h,1,1.13076,17,6,14,1,1.0,0,L
85,78,2015,2015-08-08 18:00:00,a,3,2.10975,11,7,20,4,0.0,0,W
86,80,2015,2015-08-08 20:30:00,h,2,0.64396,11,3,15,4,1.0,1,D
86,84,2015,2015-08-08 20:30:00,a,2,2.59203,17,10,16,8,3.0,0,D
87,86,2015,2015-08-09 16:30:00,h,2,1.54613,9,4,9,6,2.0,0,D
87,74,2015,2015-08-09 16:30:00,a,2,1.2529,14,4,12,6,4.0,0,D
88,83,2015,2015-08-09 16:30:00,h,0,1.33166,22,6,12,5,1.0,0,L
88,81,2015,2015-08-09 16:30:00,a,2,0.535961,8,4,9,4,3.0,0,W
89,85,2015,2015-08-09 19:00:00,h,0,0.381274,7,1,9,3,2.0,0,L
89,87,2015,2015-08-09 19:00:00,a,1,0.329873,8,3,16,5,4.0,0,W
90,76,2015,2015-08-10 23:00:00,h,0,0.435238,9,2,12,6,4.0,0,L
90,88,2015,2015-08-10 23:00:00,a,3,1.9242,20,7,9,6,1.0,0,W
91,71,2015,2015-08-14 22:45:00,h,0,0.219118,5,1,14,3,2.0,0,L
91,89,2015,2015-08-14 22:45:00,a,1,0.660404,9,2,10,5,2.0,0,W
92,74,2015,2015-08-15 15:45:00,h,0,1.06214,17,4,11,9,4.0,0,L
92,72,2015,2015-08-15 15:45:00,a,3,1.39628,10,4,10,9,2.0,0,W
93,77,2015,2015-08-15 18:00:00,h,1,0.329128,6,2,7,6,1.0,0,L
93,79,2015,2015-08-15 18:00:00,a,3,1.71686,18,6,7,6,2.0,0,W
94,84,2015,2015-08-15 18:00:00,h,2,1.97424,19,6,11,4,2.0,0,W
94,86,2015,2015-08-15 18:00:00,a,0,0.113109,4,2,8,4,1.0,1,L
95,82,2015,2015-08-15 18:00:00,h,2,1.70614,13,7,15,4,2.0,0,D
95,85,2015,2015-08-15 18:00:00,a,2,2.80956,15,7,11,3,2.0,0,D
96,90,2015,2015-08-15 18:00:00,h,0,0.760848,16,5,13,2,1.0,0,D
96,76,2015,2015-08-15 18:00:00,a,0,0.684036,6,0,10,4,2.0,0,D
97,81,2015,2015-08-15 18:00:00,h,1,0.513491,10,3,11,8,1.0,1,L
97,75,2015,2015-08-15 18:00:00,a,2,1.80939,10,5,12,4,3.0,0,W
98,78,2015,2015-08-16 16:30:00,h,1,0.964134,11,4,14,6,1.0,0,L
98,83,2015,2015-08-16 16:30:00,a,2,2.05542,20,7,12,6,1.0,0,W
99,88,2015,2015-08-16 19:00:00,h,3,2.18579,18,8,19,5,4.0,0,W
99,80,2015,2015-08-16 19:00:00,a,0,0.482423,10,3,13,1,2.0,0,L
100,87,2015,2015-08-17 23:00:00,h,1,2.15062,18,2,11,6,1.0,0,W
100,73,2015,2015-08-17 23:00:00,a,0,0.460805,13,2,18,8,4.0,0,L
101,89,2015,2015-08-22 15:45:00,h,0,1.2491,20,8,15,11,2.0,0,D
101,86,2015,2015-08-22 15:45:00,a,0,0.4384,7,0,11,5,2.0,0,D
102,79,2015,2015-08-22 18:00:00,h,1,3.14888,20,7,16,9,4.0,0,D
102,85,2015,2015-08-22 18:00:00,a,1,0.698228,6,1,5,0,1.0,0,D
103,77,2015,2015-08-22 18:00:00,h,1,0.569426,10,2,16,3,4.0,0,D
103,84,2015,2015-08-22 18:00:00,a,1,1.56064,20,9,9,4,2.0,0,D
104,78,2015,2015-08-22 18:00:00,h,2,1.23807,16,6,12,6,3.0,0,W
104,71,2015,2015-08-22 18:00:00,a,1,0.765278,11,2,15,4,3.0,0,L
